GeoName,Description,2012,2013,2014,2015,2016
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",Compensation of employees (thousands of dollars) 1/,750084938,768796907,809916607,843001855,858111752
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",  Wages and salaries,608560914,622802140,660302891,689898156,703960251
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",  Supplements to wages and salaries,141524024,145994767,149613716,153103699,154151501
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",    Employer contributions for employee pension and insurance funds 2/,99024782,101740927,102998197,104532508,104860685
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",    Employer contributions for government social insurance,42499242,44253840,46615519,48571191,49290816
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",Average compensation per job (dollars) 3/,83381,84047,86778,88500,88820
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",Compensation of employees by industry,,,,,
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",  Farm compensation,222368,221819,234194,195458,232425
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",  Nonfarm compensation,749862570,768575088,809682413,842806397,857879327
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",    Private nonfarm compensation,625599063,640014159,678515624,709274359,722716035
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)","      Forestry, fishing, and related activities","98,519 E",108260,(D),(D),128739
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",        Forestry and logging,(D),2623,(D),1223,(D)
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)","        Fishing, hunting and trapping",(D),7559,(D),(D),(D)
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",        Support activities for agriculture and forestry,(D),98078,106113,(D),(D)
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)","      Mining, quarrying, and oil and gas extraction",(D),(D),(D),178132,(D)
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",        Oil and gas extraction,(D),(D),(D),(D),(D)
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",        Mining (except oil and gas),(D),(D),(D),148582,(D)
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",        Support activities for mining,(D),(D),(D),(D),(D)
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",      Utilities,(D),(D),(D),(D),(D)
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",      Construction,25586230,27487172,"29,806,608 E","32,559,364 E","34,809,619 E"
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",        Construction of buildings,6069413,"6,457,880 E","7,177,876 E",(D),(D)
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",        Heavy and civil engineering construction,3259929,"3,422,690 E",3792970,(D),(D)
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",        Specialty trade contractors,16256888,17572635,18829922,20439043,"21,887,545 E"
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",      Manufacturing,"33,809,298 E",(D),(D),"34,199,318 E",(D)
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",        Durable goods manufacturing,"14,662,153 E","15,763,991 E","15,509,735 E",16503328,"16,291,519 E"
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",          Wood product manufacturing,"154,841 E",(D),185071,"190,406 E",197408
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",          Nonmetallic mineral product manufacturing,"562,698 E",603473,"627,831 E","667,465 E","713,510 E"
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",          Primary metal manufacturing,(D),(D),382855,366332,(D)
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",          Fabricated metal product manufacturing,2449414,2456526,2406618,2472527,2547858
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",          Machinery manufacturing,"1,409,839 E",1472771,1474749,1625562,1420091
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",          Computer and electronic product manufacturing,(D),5152306,(D),5202803,5086640
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)","          Electrical equipment, appliance, and component manufacturing","907,918 E",917835,"929,552 E","974,337 E",1057389
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)","          Motor vehicles, bodies and trailers, and parts manufacturing",(D),(D),(D),(D),(D)
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",          Other transportation equipment manufacturing,(D),699354,(D),(D),(D)
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",          Furniture and related product manufacturing,616773,641910,"678,022 E",719488,(D)
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",          Miscellaneous manufacturing,"3,071,015 E",(D),(D),(D),(D)
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",        Nondurable goods manufacturing,"17,882,414 E","17,929,920 E",18692949,"17,703,422 E",17360111
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",          Food manufacturing,"2,479,465 E",(D),(D),"2,802,704 E","2,946,100 E"
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",          Beverage and tobacco product manufacturing,(D),(D),446990,499342,(D)
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",          Textile mills,"238,451 E",254626,258431,239933,252359
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",          Textile product mills,"277,919 E",281307,"287,622 E",277878,"265,093 E"
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",          Apparel manufacturing,"1,213,810 E","1,188,826 E",1384210,1216901,1157535
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",          Leather and allied product manufacturing,(D),(D),(D),(D),(D)
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",          Paper manufacturing,(D),(D),(D),(D),(D)
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",          Printing and related support activities,1583287,1536035,1487705,1486343,1459757
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",          Petroleum and coal products manufacturing,(D),(D),447683,(D),446225
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",          Chemical manufacturing,"8,939,130 E","8,974,156 E",9242087,(D),(D)
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",          Plastics and rubber products manufacturing,"979,520 E",983667,1088671,1126724,1131355
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",      Wholesale trade,"39,253,262 E",40629633,42477296,44147432,43549904
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",      Retail trade,36647266,38323131,39845161,41216482,41516849
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",        Motor vehicle and parts dealers,4390560,4657543,4839421,5050760,5162620
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",        Furniture and home furnishings stores,"1,286,701 E",(D),(D),(D),(D)
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",        Electronics and appliance stores,"2,371,282 E","2,372,086 E","2,423,756 E",(D),(D)
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",        Building material and garden equipment and supplies dealers,2385312,2498391,2566612,2598026,2674730
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",        Food and beverage stores,6611572,6878079,7168275,7466176,7448360
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",        Health and personal care stores,4094424,4269544,4401467,4623260,4897550
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",        Gasoline stations,"547,622 E",564763,586691,633977,649068
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",        Clothing and clothing accessories stores,5355048,"5,716,544 E",5826365,5707427,"5,701,534 E"
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)","        Sporting goods, hobby, musical instrument, and book stores",952309,962175,"971,402 E","1,029,825 E","995,385 E"
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",        General merchandise stores,"4,242,059 E",(D),(D),4613941,4543114
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",        Miscellaneous store retailers,1960519,2109319,2222023,2294014,2254852
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",        Nonstore retailers,2420738,2678199,3020711,3214986,3183259
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",      Transportation and warehousing,(D),(D),(D),(D),(D)
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",        Air transportation,"4,256,900 E","4,517,829 E","4,526,196 E","4,945,704 E","5,693,136 E"
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",        Rail transportation,(D),(D),(D),391757,(D)
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",        Water transportation,"489,554 E","447,467 E","455,819 E",536488,"522,010 E"
